date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:36	19810/19810	---M--	200	added ('OK')	image/jpeg	etag:%224d62-607430c9fbd92%22	https://themesbrand.com/borex-symfony/layouts/assets/images/product/img-5.jpg	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/product/img-5.jpg	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:37	17671/17671	---M--	200	added ('OK')	image/jpeg	etag:%224507-607430c9fbd92%22	https://themesbrand.com/borex-symfony/layouts/assets/images/product/img-6.jpg	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/product/img-6.jpg	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:37	610222/610222	---M--	200	added ('OK')	image/png	etag:%2294fae-607430c9fbd92%22	https://themesbrand.com/borex-symfony/layouts/assets/images/product/img-3.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/product/img-3.png	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:37	26465/26465	---M-Z	200	added ('OK')	application/javascript	etag:%226761-607430ca42294-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/nouislider/nouislider.min.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/nouislider/nouislider.min.js	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:37	2235/2235	---M-Z	200	added ('OK')	application/javascript	etag:%228bb-607430ca4ce74-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/wnumb/wNumb.min.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/wnumb/wNumb.min.js	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:37	399/399	---M-Z	200	added ('OK')	application/javascript	etag:%2218f-607430ca01b52-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/product-filter-range.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/product-filter-range.init.js	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-products.html)
14:00:38	324/324	---M-Z	200	added ('OK')	application/javascript	etag:%22144-607430ca00bb2-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/ecommerce-product-detail.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/ecommerce-product-detail.init.js	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-product-detail.html)
14:00:38	7762/7762	---M-Z	200	added ('OK')	text/css	etag:%221e52-607430ca395f4-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/gridjs/theme/mermaid.min.css	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/gridjs/theme/mermaid.min.css	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-orders.html)
14:00:38	16081/16081	---M-Z	200	added ('OK')	text/css	etag:%223ed1-607430ca36714-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/flatpickr/flatpickr.min.css	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/flatpickr/flatpickr.min.css	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-orders.html)
14:00:39	60552/60552	---M-Z	200	added ('OK')	application/javascript	etag:%22ec88-607430ca395f4-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/gridjs/gridjs.umd.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/gridjs/gridjs.umd.js	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-orders.html)
14:00:39	49670/49670	---M-Z	200	added ('OK')	application/javascript	etag:%22c206-607430ca36714-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/flatpickr/flatpickr.min.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/flatpickr/flatpickr.min.js	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-orders.html)
14:00:39	4099/4099	---M-Z	200	added ('OK')	application/javascript	etag:%221003-607430ca00bb2-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/ecommerce-orders.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/ecommerce-orders.init.js	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-orders.html)
14:00:39	3908/3908	---M-Z	200	added ('OK')	application/javascript	etag:%22f44-607430ca00bb2-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/ecommerce-customers.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/ecommerce-customers.init.js	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-customers.html)
14:00:40	135722/135722	---M-Z	200	added ('OK')	text/html	etag:%222122a-607430ca5a935;607430ca72fd5-gzip%22	https://themesbrand.com/borex-symfony/layouts/ecommerce-product-detail	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/ecommerce-product-detail-2.html	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-cart.html)
14:00:40	2573/2573	---M-Z	200	added ('OK')	application/javascript	etag:%22a0d-607430ca00bb2-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/ecommerce-shops.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/ecommerce-shops.init.js	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-shops.html)
14:00:41	6679/6679	---M-Z	200	added ('OK')	text/css	etag:%221a17-607430ca16373-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/choices.js/public/assets/styles/choices.min.css	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/choices.js/public/assets/styles/choices.min.css	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-add-product.html)
14:00:41	9846/9846	---M-Z	200	added ('OK')	text/css	etag:%222676-607430ca17313-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/dropzone/min/dropzone.min.css	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/dropzone/min/dropzone.min.css	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-add-product.html)
14:00:41	73785/73785	---M-Z	200	added ('OK')	application/javascript	etag:%2212039-607430ca16373-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/choices.js/public/assets/scripts/choices.min.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/choices.js/public/assets/scripts/choices.min.js	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-add-product.html)
14:00:41	48202/48202	---M-Z	200	added ('OK')	application/javascript	etag:%22bc4a-607430ca17313-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/dropzone/min/dropzone.min.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/dropzone/min/dropzone.min.js	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-add-product.html)
14:00:42	274/274	---M-Z	200	added ('OK')	application/javascript	etag:%22112-607430ca00bb2-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/ecommerce-choices.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/ecommerce-choices.init.js	(from https://themesbrand.com/borex-symfony/layouts/ecommerce-add-product.html)
14:00:42	166/166	---M-Z	200	added ('OK')	application/javascript	etag:%22a6-607430ca00bb2-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/email-editor.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/email-editor.init.js	(from https://themesbrand.com/borex-symfony/layouts/email-inbox.html)
14:00:43	718809/718809	---MCZ	200	added ('OK')	application/javascript	etag:%22af7d9-607430ca059d3-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/@ckeditor/ckeditor5-build-classic/build/ckeditor.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/@ckeditor/ckeditor5-build-classic/build/ckeditor.js	(from https://themesbrand.com/borex-symfony/layouts/email-inbox.html)
14:00:43	89244/89244	---M--	200	added ('OK')	image/jpeg	etag:%2215c9c-607430c9fcd32%22	https://themesbrand.com/borex-symfony/layouts/assets/images/small/img-3.jpg	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/small/img-3.jpg	(from https://themesbrand.com/borex-symfony/layouts/email-read.html)
14:00:43	105375/105375	---M--	200	added ('OK')	image/jpeg	etag:%2219b9f-607430c9fcd32%22	https://themesbrand.com/borex-symfony/layouts/assets/images/small/img-4.jpg	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/small/img-4.jpg	(from https://themesbrand.com/borex-symfony/layouts/email-read.html)
14:00:44	3588/3588	---M-Z	200	added ('OK')	application/javascript	etag:%22e04-607430ca00bb2-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/invoice-list.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/invoice-list.init.js	(from https://themesbrand.com/borex-symfony/layouts/invoices-list.html)
14:00:44	5451/5451	---M--	200	added ('OK')	image/png	etag:%22154b-607430c9f6f72%22	https://themesbrand.com/borex-symfony/layouts/assets/images/companies/img-1.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/companies/img-1.png	(from https://themesbrand.com/borex-symfony/layouts/projects-grid.html)
14:00:45	6309/6309	---M--	200	added ('OK')	image/png	etag:%2218a5-607430c9f6f72%22	https://themesbrand.com/borex-symfony/layouts/assets/images/companies/img-2.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/companies/img-2.png	(from https://themesbrand.com/borex-symfony/layouts/projects-grid.html)
14:00:45	7902/7902	---M--	200	added ('OK')	image/png	etag:%221ede-607430c9f6f72%22	https://themesbrand.com/borex-symfony/layouts/assets/images/companies/img-3.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/companies/img-3.png	(from https://themesbrand.com/borex-symfony/layouts/projects-grid.html)
14:00:45	8984/8984	---M--	200	added ('OK')	image/png	etag:%222318-607430c9f6f72%22	https://themesbrand.com/borex-symfony/layouts/assets/images/companies/img-4.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/companies/img-4.png	(from https://themesbrand.com/borex-symfony/layouts/projects-grid.html)
14:00:45	8041/8041	---M--	200	added ('OK')	image/png	etag:%221f69-607430c9f6f72%22	https://themesbrand.com/borex-symfony/layouts/assets/images/companies/img-5.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/companies/img-5.png	(from https://themesbrand.com/borex-symfony/layouts/projects-grid.html)
14:00:45	7408/7408	---M--	200	added ('OK')	image/png	etag:%221cf0-607430c9f6f72%22	https://themesbrand.com/borex-symfony/layouts/assets/images/companies/img-6.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/companies/img-6.png	(from https://themesbrand.com/borex-symfony/layouts/projects-grid.html)
14:00:46	104/104	---M-Z	200	added ('OK')	application/javascript	etag:%2268-607430ca01b52-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/task-creat.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/task-creat.init.js	(from https://themesbrand.com/borex-symfony/layouts/projects-create.html)
14:00:47	180/180	---M-Z	200	added ('OK')	application/javascript	etag:%22b4-607430ca01b52-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/pass-addon.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/pass-addon.init.js	(from https://themesbrand.com/borex-symfony/layouts/auth-login.html)
14:00:47	514/514	---M-Z	200	added ('OK')	application/javascript	etag:%22202-607430ca01b52-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/two-step-verification.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/two-step-verification.init.js	(from https://themesbrand.com/borex-symfony/layouts/auth-two-step-verification.html)
14:00:48	216278/216278	---M--	200	added ('OK')	image/png	etag:%2234cd6-607430c9f7f12%22	https://themesbrand.com/borex-symfony/layouts/assets/images/maintenance.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/maintenance.png	(from https://themesbrand.com/borex-symfony/layouts/pages-maintenance.html)
14:00:48	867/867	---M-Z	200	added ('OK')	application/javascript	etag:%22363-607430c9ffc12-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/coming-soon.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/coming-soon.init.js	(from https://themesbrand.com/borex-symfony/layouts/pages-comingsoon.html)
14:00:49	146293/146293	---M--	200	added ('OK')	image/png	etag:%2223b75-607430c9f6f72%22	https://themesbrand.com/borex-symfony/layouts/assets/images/coming-soon.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/coming-soon.png	(from https://themesbrand.com/borex-symfony/layouts/pages-comingsoon.html)
14:00:49	372/372	---M-Z	200	added ('OK')	application/javascript	etag:%22174-607430ca01b52-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/timeline.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/timeline.init.js	(from https://themesbrand.com/borex-symfony/layouts/pages-timeline.html)
14:00:50	30445/30445	---M--	200	added ('OK')	image/png	etag:%2276ed-607430c9f6f72%22	https://themesbrand.com/borex-symfony/layouts/assets/images/error-img.png	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/error-img.png	(from https://themesbrand.com/borex-symfony/layouts/pages-404.html)
14:00:50	16412/16412	---M--	200	added ('OK')	image/jpeg	etag:%22401c-607430c9fcd32%22	https://themesbrand.com/borex-symfony/layouts/assets/images/small/img-7.jpg	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/small/img-7.jpg	(from https://themesbrand.com/borex-symfony/layouts/ui-cards.html)
14:00:50	11219/11219	---M--	200	added ('OK')	image/jpeg	etag:%222bd3-607430c9fcd32%22	https://themesbrand.com/borex-symfony/layouts/assets/images/small/img-6.jpg	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/images/small/img-6.jpg	(from https://themesbrand.com/borex-symfony/layouts/ui-cards.html)
14:00:50	24103/24103	---M-Z	200	added ('OK')	application/javascript	etag:%225e27-607430ca3f3b4-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/masonry-layout/masonry.pkgd.min.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/masonry-layout/masonry.pkgd.min.js	(from https://themesbrand.com/borex-symfony/layouts/ui-cards.html)
14:00:51	13775/13775	---M-Z	200	added ('OK')	text/css	etag:%2235cf-607430ca38654-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/glightbox/css/glightbox.min.css	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/glightbox/css/glightbox.min.css	(from https://themesbrand.com/borex-symfony/layouts/ui-lightbox.html)
14:00:52	54762/54762	---M-Z	200	added ('OK')	application/javascript	etag:%22d5ea-607430ca38654-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/glightbox/js/glightbox.min.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/glightbox/js/glightbox.min.js	(from https://themesbrand.com/borex-symfony/layouts/ui-lightbox.html)
14:00:52	184/184	---M-Z	200	added ('OK')	application/javascript	etag:%22b8-607430ca01b52-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/lightbox.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/lightbox.init.js	(from https://themesbrand.com/borex-symfony/layouts/ui-lightbox.html)
14:00:52	3889/3889	---M-Z	200	added ('OK')	application/javascript	etag:%22f31-607430ca01b52-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/js/pages/range-sliders.init.js	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/js/pages/range-sliders.init.js	(from https://themesbrand.com/borex-symfony/layouts/ui-rangeslider.html)
14:00:53	22666/22666	---M-Z	200	added ('OK')	text/css	etag:%22588a-607430ca45174-gzip%22	https://themesbrand.com/borex-symfony/layouts/assets/libs/sweetalert2/sweetalert2.min.css	C:/Users/arsla/OneDrive/Desktop/pos/themesbrand.com/borex-symfony/layouts/assets/libs/sweetalert2/sweetalert2.min.css	(from https://themesbrand.com/borex-symfony/layouts/ui-sweet-alert.html)
